badge,city,companyField,company_name,job_edu,job_exp,job_name,job_publisher_name,job_publisher_post,job_sec,job_tags,job_url,positionAdvantage,publish_time
10k-20k,杭州,"移动互联网,金融",杭州捕翼网络科技有限公司,本科,3-5年,数据分析师,,,本科,数据挖掘,https://www.lagou.com/jobs/3988269.html,"双休,五险一金,弹性时间,环境舒适",2018-03-07 16:49:28
8k-15k,杭州,"移动互联网,社交网络",杭州点望科技有限公司,本科,3-5年,数据分析,,,本科,,https://www.lagou.com/jobs/3822281.html,"B轮机会,年底多薪,免费体检,扁平管理",2018-03-05 10:56:54
15k-30k,杭州,"金融,数据服务",杭州恩牛网络技术有限公司,硕士,3-5年,数据分析师,,,硕士,"金融,大数据",https://www.lagou.com/jobs/4224931.html,"16薪,数据驱动,成长空间",2018-03-08 10:17:44
6k-10k,杭州,"移动互联网,O2O",杭州大搜车汽车服务有限公司,本科,1-3年,数据分析师,,,本科,"数据挖掘,BI,SPSS",https://www.lagou.com/jobs/1048957.html,期权股份 平台好,2018-03-08 09:50:41
8k-15k,杭州,金融,微贷（杭州）金融信息服务有限公司,本科,不限,数据分析,,,本科,"金融,汽车,sas",https://www.lagou.com/jobs/4186812.html,"互金大平台,超赞年终奖,超耐撕团队,晋升空间大",2018-03-07 09:44:53
10k-20k,杭州,O2O,点我达网络科技有限公司,本科,1-3年,数据分析师,,,本科,"物流,商业,业务运营,SPSS,sas",https://www.lagou.com/jobs/3711948.html,阿里系，15薪，技术领先,2018-03-08 14:13:21
1k-2k,杭州,"移动互联网,金融",杭州财米科技有限公司,本科,不限,数据分析实习生 (MJ000787),,,本科,,https://www.lagou.com/jobs/4225333.html,"弹性工作,公司平台,节假日福利,晋升空间",2018-03-08 10:49:57
15k-30k,杭州,"游戏,文化娱乐",杭州顺网科技股份有限公司,本科,3-5年,数据分析师（大数据方向）,,,本科,"广告营销,数据挖掘",https://www.lagou.com/jobs/4126249.html,"上市公司,发展前景大,大数据方向,用户画像",2018-02-22 13:50:02
15k-30k,杭州,移动互联网,杭州铜板街网络科技有限公司,本科,3-5年,数据分析师,,,本科,"金融,SPSS,sas",https://www.lagou.com/jobs/3917751.html,股票期权；年终奖金；弹性工作,2018-03-01 10:54:47
15k-26k,杭州,"移动互联网,电子商务",杭州一骑轻尘信息技术有限公司,本科,1-3年,资深数据分析师,,,本科,"高级,BI,大数据,数据挖掘,SPSS",https://www.lagou.com/jobs/3949310.html,"双休,五险一金,餐补,年终奖",2018-03-08 10:08:18
